KKorgnr,Institution_Navn,"Andel af pæd personale, der er uddannet 2020",Antal uddannede pædagoger,Antal pædagogmedhjælpere (inkl. assistenter),Andre midlertidigt tilknyttede,Samlede pædagoger,Antal børn,Børn pr. voksen (rundet op),Koordinater,kilde:
2164,Børnehuset Scandiagade,57%,12,24,,36,102,3,"55.70864225274675, 12.58689175994936 ",https://pasningogskole.kk.dk/institution/4000491     og      https://boernehusetscandiagade-kk.aula.dk/sites/boernehusetscandiagade-kk.aula.dk/files/arkiv/Download_filer/P%C3%A6dagogisk%20l%C3%A6replan%20for%202020%202021.pdf
2168,Vesterbro Børnegård,51%,,,,17,112,7,"55.704422492754226, 12.581783419950012 ",Mail
2176,Idrætsinstitutionen Bavnehøj,57%,10,6,ja,16,74,5,"55.704442642754145, 12.581971099949987 ",https://pasningogskole.kk.dk/institution/2000638
2224,Flora,51%,12,7,,19,106,6,"55.701019722756136, 12.590057179948982 ",https://pasningogskole.kk.dk/institution/4000200
2226,Charlottehaven,57%,12,12,,24,70,3,"55.71605254274418, 12.563660039952188 ",https://charlottehaven-kk.aula.dk/sites/charlottehaven-kk.aula.dk/files/arkiv/Download_filer/Charlottehavens%20p%C3%A6dagogisk%20l%C3%A6replan%202019%202021%20Klynge%20IB%C3%98-F.pdf
2230,Æblehaven,58%,,,,,91,,,https://villarose-kk.aula.dk/sites/villarose-kk.aula.dk/files/arkiv/Download_filer/P%C3%A6dagogisk%20l%C3%A6replan%20Villa%20Rose%202021-2022.pdf
2231,Luna,25%,,,,,36,,,https://pasningogskole.kk.dk/institution/1000280
2232,Mælkebøtten,49%,,,ja,9,36,4,"55.715480, 12.565050",https://maelkeboetten-kk.aula.dk/sites/maelkeboetten-kk.aula.dk/files/arkiv/Download_filer/M%C3%A6lkeb%C3%B8ttens%20l%C3%A6replan%202020%20revideret%20februar%202021.pdf
2233,Villa Nova,52%,12,6,,18,72,4,"55.70413285275413, 12.583249289949832 ",https://simplyjob.com/569016/kbenhavns-kommune/to-paedagoger-til-vuggestuen-villa-nova
2234,Vokseværket,49%,12,6,,18,72,4,"55.71270933277433, 12.479537019961317 ",https://voksevaerket-kk.aula.dk/om-os/om-os-i-voksevaerket
2235,Vuggestuen Junglebo,66%,12,9,,21,72,4,"55.720442892761604, 12.48694718996057",https://vuggestuenjunglebo-kk.aula.dk/om-os/velkommen-til-junglebo
2236,Akvariet,56%,,,,,75,,"55.720538302761774, 12.485877079960673 ",https://pasningogskole.kk.dk/institution/2010395/b-rnehave
2237,Konkylien,51%,12,6,,18,93,6,"55.710361622779196, 12.473834039961876 ",https://konkylien-kk.aula.dk/stuerne-i-konkylien
2238,Himmelrummet,33%,,,,,,,,
2240,EventyrØen,43%,,,Ja,,,,,
